school,school url,location,course name,price,skill,description
General Assembly,/schools/general-assembly,San Francisco,Digital Marketing (Part-time),3 950,JavaScript  HTML  jQuery  CSS,Use HTML5  CSS3  JavaScript  jQuery  GitHub  and Sublime in concert. Build a fully responsive  interactive website that stands apart from the usual templates. Understand how a skillful mix of programming and layout powers the web we see – and how teams collaborate to create it.
General Assembly,/schools/general-assembly,San Francisco,iOS Development Immersive,3 950,JavaScript  HTML  jQuery  CSS,Use HTML5  CSS3  JavaScript  jQuery  GitHub  and Sublime in concert. Build a fully responsive  interactive website that stands apart from the usual templates. Understand how a skillful mix of programming and layout powers the web we see – and how teams collaborate to create it.
General Assembly,/schools/general-assembly,San Francisco,Web Development Immersive,14 950,AngularJS  JavaScript  MongoDB  HTML  Rails  jQuery  Ruby  CSS  Node.js,Learn the most sought-after skills in tech  from JavaScript to Rails  with guidance from our team of experienced instructors. Build real websites  APIs  and data-driven apps while collaborating with classmates on a range of projects. Launch your new career in web development with the support of our career counselors through every step of the job search.
General Assembly,/schools/general-assembly,San Francisco,User Experience Design Immersive,14 950,AngularJS  JavaScript  MongoDB  HTML  Rails  jQuery  Ruby  CSS  Node.js,Learn the most sought-after skills in tech  from JavaScript to Rails  with guidance from our team of experienced instructors. Build real websites  APIs  and data-driven apps while collaborating with classmates on a range of projects. Launch your new career in web development with the support of our career counselors through every step of the job search.
General Assembly,/schools/general-assembly,San Francisco,Android Development Immersive,13 500,Java  Android,In this program  you’ll learn everything you need to create Android apps from scratch: programming  material design  connecting to third-party services  and iterative design during development sprints — all adapted for the platform.
General Assembly,/schools/general-assembly,San Francisco,Product Management (Part-time),3 950,Product Management,In this program  you’ll learn everything you need to create Android apps from scratch: programming  material design  connecting to third-party services  and iterative design during development sprints — all adapted for the platform.
General Assembly,/schools/general-assembly,San Francisco,Data Science Immersive,3 950,Product Management,In this program  you’ll learn everything you need to create Android apps from scratch: programming  material design  connecting to third-party services  and iterative design during development sprints — all adapted for the platform.
General Assembly,/schools/general-assembly,San Francisco,Front-End Web Development (Part-time),3 950,Product Management,In this program  you’ll learn everything you need to create Android apps from scratch: programming  material design  connecting to third-party services  and iterative design during development sprints — all adapted for the platform.
General Assembly,/schools/general-assembly,San Francisco,Visual Design (Part-time),3 950,Product Management,In this program  you’ll learn everything you need to create Android apps from scratch: programming  material design  connecting to third-party services  and iterative design during development sprints — all adapted for the platform.
General Assembly,/schools/general-assembly,San Francisco,Data Science (Part-time),3 950,Data Science,Use Python to mine datasets and predict patterns. Build statistical models — regression  classification  clustering — that generate usable information from raw data. Master the basics of machine learning and harness large datasets to forecast what’s next.
General Assembly,/schools/general-assembly,San Francisco,Data Analytics (Part-time),3 500,Data Science,Use SQL  Excel  and Tableau to extract  analyze  and illustrate real‐world data. Create data visualizations and dashboards to present and communicate important findings. Use descriptive statistical analysis to make informed  effective decisions.
General Assembly,/schools/general-assembly,Washington,User Experience Design Immersive,14 950,User Experience Design,Attend classes designed and taught by some of the industry’s best UX designers. Apply your UX skills across five class projects and build a working portfolio. Become an apprentice or junior UX designer.
General Assembly,/schools/general-assembly,Washington,Data Science Immersive,14 950,User Experience Design,Attend classes designed and taught by some of the industry’s best UX designers. Apply your UX skills across five class projects and build a working portfolio. Become an apprentice or junior UX designer.
General Assembly,/schools/general-assembly,Washington,Data Science (Part-time),3 950,Data Science,Use Python to mine datasets and predict patterns. Build statistical models — regression  classification  clustering — that generate usable information from raw data. Master the basics of machine learning and harness large datasets to forecast what’s next.
General Assembly,/schools/general-assembly,Washington,Product Management (Part-time),3 950,Data Science,Use Python to mine datasets and predict patterns. Build statistical models — regression  classification  clustering — that generate usable information from raw data. Master the basics of machine learning and harness large datasets to forecast what’s next.
General Assembly,/schools/general-assembly,Washington,Web Development Immersive,14 950,AngularJS  JavaScript  MongoDB  HTML  Rails  jQuery  Ruby  CSS  Node.js,Use Python to mine datasets and predict patterns. Build statistical models — regression  classification  clustering — that generate usable information from raw data. Master the basics of machine learning and harness large datasets to forecast what’s next.
General Assembly,/schools/general-assembly,Washington,Data Analytics (Part-time),3 500,Data Science,Use SQL  Excel  and Tableau to extract  analyze  and illustrate real‐world data. Create data visualizations and dashboards to present and communicate important findings. Use descriptive statistical analysis to make informed  effective decisions.
General Assembly,/schools/general-assembly,Washington,User Experience Design (Part-Time),3 950,Data Science,Use SQL  Excel  and Tableau to extract  analyze  and illustrate real‐world data. Create data visualizations and dashboards to present and communicate important findings. Use descriptive statistical analysis to make informed  effective decisions.
General Assembly,/schools/general-assembly,Washington,Digital Marketing (Part-time),3 950,Data Science,Use SQL  Excel  and Tableau to extract  analyze  and illustrate real‐world data. Create data visualizations and dashboards to present and communicate important findings. Use descriptive statistical analysis to make informed  effective decisions.
General Assembly,/schools/general-assembly,Hong Kong,User Experience Design (Part-time),35 000,User Experience Design,Use industry standard tools such as Sketch and Invision to prototype and wireframe design solutions. Put together a full suite of UX documentation for a digital product  from user personas and wireframes to interactive prototypes. Connect and convey how insights into customer behavior — from problems to solutions — can optimize any product or service.
General Assembly,/schools/general-assembly,Hong Kong,Product Management (Part-time),35 000,User Experience Design,Use industry standard tools such as Sketch and Invision to prototype and wireframe design solutions. Put together a full suite of UX documentation for a digital product  from user personas and wireframes to interactive prototypes. Connect and convey how insights into customer behavior — from problems to solutions — can optimize any product or service.
General Assembly,/schools/general-assembly,Hong Kong,Data Science (Part-time),35 000,Data Science,Use Python to mine datasets and predict patterns. Build statistical models — regression  classification  clustering — that generate usable information from raw data. Master the basics of machine learning and harness large datasets to forecast what’s next.
General Assembly,/schools/general-assembly,Hong Kong,Data Analytics (Part-time),35 000,Data Science,Use SQL  Excel  and Tableau to extract  analyze  and illustrate real‐world data. Create data visualizations and dashboards to present and communicate important findings. Use descriptive statistical analysis to make informed  effective decisions.
General Assembly,/schools/general-assembly,Hong Kong,Data Science Immersive,130 000,Python  Data Science  SQL,Learn the tools and techniques you need to make better decisions through data  and land a job in one of the most sought after fields in tech.
General Assembly,/schools/general-assembly,Hong Kong,Digital Marketing (Part-time),130 000,Python  Data Science  SQL,Learn the tools and techniques you need to make better decisions through data  and land a job in one of the most sought after fields in tech.
General Assembly,/schools/general-assembly,Hong Kong,Web Development Immersive,120 000,AngularJS  JavaScript  MongoDB  HTML  Rails  jQuery  Ruby  CSS  Node.js,No Class: Feb 8  Feb 9  Feb 10  Mar 25  Mar 28  Apr 4
General Assembly,/schools/general-assembly,Hong Kong,User Experience Design Immersive,100 000,User Experience Design,Attend classes designed and taught by some of the industry’s best UX designers. Apply your UX skills across five class projects and build a working portfolio. Become an apprentice or junior UX designer.
General Assembly,/schools/general-assembly,Sydney,JavaScript Development (Part-time),4 500,Front End  JavaScript  Git,Learn to code in JavaScript  the native language of the web used by developers the world over. Build a single-page web app that persists user data and connects to services like Twitter and Facebook via APIs. Learn the fundamentals of object-oriented programming while receiving support from industry experts and a community of peers.
General Assembly,/schools/general-assembly,Sydney,User Experience Design Immersive (full-time),13 500,User Experience Design,Attend classes designed and taught by some of the industry’s best UX designers. Apply your UX skills across five class projects and build a working portfolio. Become an apprentice or junior UX designer.
General Assembly,/schools/general-assembly,Sydney,Data Science (Part-time),5 000,Python  Data Science  SQL,Use Python to mine datasets and predict patterns.  Build statistical models — regression  classification  clustering — that generate usable information from raw data. Master the basics of machine learning and harness large datasets to forecast what’s next.
General Assembly,/schools/general-assembly,Sydney,Digital Marketing (Part-time),4 000,Digital Marketing  Growth Hacking,Gain proficiency in social advertising and use Google Analytics  Google AdWords  and Excel to find meaning in user behaviour. Develop and plan a campaign driven by data and paid‐search strategies — and measured by key performance indicators. Become a driver of your company's bottom line by using cutting‐edge techniques and platforms to market products and acquire users.
General Assembly,/schools/general-assembly,Sydney,Front-end Web Development (Part-time),4 500,Front End  JavaScript  HTML  Git  jQuery  CSS,Use HTML5  CSS3  JavaScript  jQuery  GitHub  and Sublime in concert. Build a fully responsive  interactive website that stands apart from the usual templates. Understand how a skillful mix of programming and layout powers the web we see – and how teams collaborate to create it.
General Assembly,/schools/general-assembly,Sydney,Web Development Immersive,15 500,AngularJS  JavaScript  MongoDB  HTML  Rails  SQL  jQuery  Ruby  CSS  Node.js,Learn the most sought-after skills in tech  from JavaScript to Rails  with guidance from our team of experienced instructors. Build real websites  APIs  and data-driven apps while collaborating with classmates on a range of projects. Launch your new career in web development with the support of our career counselors through every step of the job search.
General Assembly,/schools/general-assembly,Sydney,Product Management (Part-time),3 500,Product Management,Apply product management best practices to ship products and features that solve real problems for your customers. Create a roadmap  business model canvas  MVP  key metrics  personas  wireframing  and a stakeholder management plan. Grow capable of launching viable  market‐ready products that anticipate user needs by making tough decisions and working with stakeholders.
General Assembly,/schools/general-assembly,Sydney,Data Analytics (Part-time),4 500,Data Science,Use SQL  Excel  and Tableau to extract  analyze  and illustrate real‐world data. Create data visualizations and dashboards to present and communicate important findings. Use descriptive statistical analysis to make informed  effective decisions.
General Assembly,/schools/general-assembly,Sydney,Data Science Immersive,17 500,Python  Data Science  Git  SQL,Learn From Experts: Create predictive models by learning to wrangle  analyse  and visualise data from our team of professional Data Scientist instructors.  Gain Hands-On Experience: Develop hard skills like Unix  Git  SQL  Python  machine learning  and modelling techniques while creating your own data projects and applications.  Get Hired: Take advantage of the growing demand for data and use the guidance and resources of our in-house career coaches to help you find work.
General Assembly,/schools/general-assembly,Sydney,User Experience Design (Part-time),5 000,User Experience Design,Use industry standard tools such as Sketch and Invision to prototype and wireframe design solutions. Put together a full suite of UX documentation for a digital product  from user personas and wireframes to interactive prototypes. Connect and convey how insights into customer behaviour — from problems to solutions — can optimise any product or service.
General Assembly,/schools/general-assembly,Sydney,Visual Design (Part-time),3 000,Design,Apply Photoshop’s powerful functions to digital product design. Start with an idea and a moodboard: finish with a production‐ready mockup of a responsive webpage. Grasp how effective visual communication — from font pairings to style tiles — helps translate compelling ideas across any team  in any field.
General Assembly,/schools/general-assembly,London,Data Science (Part-time),3 000,Data Science,Use Python to mine datasets and predict patterns. Build statistical models — regression  classification  clustering — that generate usable information from raw data. Master the basics of machine learning and harness large datasets to forecast what’s next.
General Assembly,/schools/general-assembly,London,Product Management (Part-time),2 800,Product Management,Guide a product through its lifecycle via lean methodologies like Agile  market research  UX  and financial modeling. Create a roadmap  business model canvas  MVP  key metrics  personas  wireframing  and a stakeholder management plan. Grow capable of launching viable  market‐ready products that anticipate user needs by making tough decisions and working with stakeholders.
General Assembly,/schools/general-assembly,London,Web Development Immersive,8 000,AngularJS  JavaScript  MongoDB  HTML  Rails  jQuery  Ruby  CSS  Node.js,Guide a product through its lifecycle via lean methodologies like Agile  market research  UX  and financial modeling. Create a roadmap  business model canvas  MVP  key metrics  personas  wireframing  and a stakeholder management plan. Grow capable of launching viable  market‐ready products that anticipate user needs by making tough decisions and working with stakeholders.
General Assembly,/schools/general-assembly,London,User Experience Design Immersive,9 000,User Experience Design,Attend classes designed and taught by some of the industry’s best UX designers. Apply your UX skills across five class projects and build a working portfolio. Become an apprentice or junior UX designer.
General Assembly,/schools/general-assembly,London,Data Analytics (Part-time),2 800,Data Science,Use SQL  Excel  and Tableau to extract  analyze  and illustrate real‐world data. Create data visualizations and dashboards to present and communicate important findings. Use descriptive statistical analysis to make informed  effective decisions.
General Assembly,/schools/general-assembly,London,Data Science Immersive,2 800,Data Science,Use SQL  Excel  and Tableau to extract  analyze  and illustrate real‐world data. Create data visualizations and dashboards to present and communicate important findings. Use descriptive statistical analysis to make informed  effective decisions.
General Assembly,/schools/general-assembly,London,User Experience Design (Part-Time),2 800,Data Science,Use SQL  Excel  and Tableau to extract  analyze  and illustrate real‐world data. Create data visualizations and dashboards to present and communicate important findings. Use descriptive statistical analysis to make informed  effective decisions.
General Assembly,/schools/general-assembly,London,Digital Marketing (Part-time),2 800,Data Science,Use SQL  Excel  and Tableau to extract  analyze  and illustrate real‐world data. Create data visualizations and dashboards to present and communicate important findings. Use descriptive statistical analysis to make informed  effective decisions.
